TYPE OF SORT,N,Time(ms)
MERSORT,10000,2.82005
THE_WOR_MERSORT,10000,2.82005
THE_BES_MERSORT,10000,2.82005
MERSORT,20000,6.0035
THE_WOR_MERSORT,20000,6.0646
THE_BES_MERSORT,20000,3.0323
MERSORT,30000,9.30485
THE_WOR_MERSORT,30000,9.4693
THE_BES_MERSORT,30000,4.73465
MERSORT,40000,12.8041
THE_WOR_MERSORT,40000,12.978
THE_BES_MERSORT,40000,6.489
MERSORT,50000,16.292
THE_WOR_MERSORT,50000,16.5642
THE_BES_MERSORT,50000,8.2821
QUISORT,10000,3.30335
THE_WOR_QUISORT,10000,3.30335
THE_BES_QUISORT,10000,3.30335
QUISORT,20000,6.7437
THE_WOR_QUISORT,20000,7.1039
THE_BES_QUISORT,20000,3.55195
QUISORT,30000,10.2962
THE_WOR_QUISORT,30000,11.0921
THE_BES_QUISORT,30000,5.54605
QUISORT,40000,13.9677
THE_WOR_QUISORT,40000,15.2022
THE_BES_QUISORT,40000,7.6011
QUISORT,50000,17.6135
THE_WOR_QUISORT,50000,19.4029
THE_BES_QUISORT,50000,9.70145
